snapshot_index,time,magic_m2,final_train_nll,final_val_nll,final_kl,final_tv,steps_to_threshold,condition_id,architecture,n_sites,theta1,hidden_size,seed,snapshot_entropy
40,3.333333333333333,0.7037775915870146,1.454310369905454,1.4368023810566604,0.618251510388641,0.3198114004248845,1.0,N6_th0.00_archindependent_h0_s11,independent,6,0.0,0,11,0.1627500478680528
60,5.0,0.7037775915870146,1.4802504076978533,1.369457455857703,0.6184492582763046,0.3260625142182221,1.0,N6_th0.00_archindependent_h0_s11,independent,6,0.0,0,11,0.16275004786805275
0,0.0,0.7037775915870146,1.4542015596787463,1.405754762637518,0.6184648338423898,0.31991338153512394,1.0,N6_th0.00_archindependent_h0_s17,independent,6,0.0,0,17,0.16275004786805258
20,1.6666666666666665,0.7037775915870155,1.4692495400240753,1.5195833595277426,0.6183769147395921,0.32393425452895297,1.0,N6_th0.00_archindependent_h0_s17,independent,6,0.0,0,17,0.16275004786805286
40,3.333333333333333,0.7037775915870146,1.4641271678360512,1.4981353319588642,0.6182502587958134,0.3220494534924216,1.0,N6_th0.00_archindependent_h0_s17,independent,6,0.0,0,17,0.1627500478680528
60,5.0,0.7037775915870146,1.5311430421772594,1.404205209119732,0.6197030933467784,0.3384243327677058,1.0,N6_th0.00_archindependent_h0_s17,independent,6,0.0,0,17,0.16275004786805275
0,0.0,0.7037775915870146,1.3847579140926536,1.3944671714095693,0.619096301094832,0.30320216139378586,1.0,N6_th0.00_archindependent_h0_s23,independent,6,0.0,0,23,0.16275004786805258
20,1.6666666666666665,0.7037775915870155,1.4094701969159251,1.435770835718948,0.6184563805451917,0.30884450963663096,1.0,N6_th0.00_archindependent_h0_s23,independent,6,0.0,0,23,0.16275004786805286
40,3.333333333333333,0.7037775915870146,1.4840475343089654,1.3949752681376981,0.6200526345613775,0.3273802125981633,1.0,N6_th0.00_archindependent_h0_s23,independent,6,0.0,0,23,0.1627500478680528
60,5.0,0.7037775915870146,1.421866925789596,1.5251655046041808,0.6184144017911458,0.31240088417493406,1.0,N6_th0.00_archindependent_h0_s23,independent,6,0.0,0,23,0.16275004786805275
