run_id,condition_id,architecture,n_sites,theta1,hidden_size,seed,n_snapshots,pearson_magic_vs_val_nll,pearson_p_magic_vs_val_nll,spearman_magic_vs_val_nll,spearman_p_magic_vs_val_nll,pearson_entropy_vs_val_nll,pearson_p_entropy_vs_val_nll,pearson_magic_vs_val_nll_partial_entropy,pearson_p_magic_vs_val_nll_partial_entropy,pearson_magic_vs_kl,pearson_p_magic_vs_kl,pearson_magic_vs_tv,pearson_p_magic_vs_tv,pearson_magic_vs_val_nll_ci_low,pearson_magic_vs_val_nll_ci_high,pearson_entropy_vs_val_nll_ci_low,pearson_entropy_vs_val_nll_ci_high,pearson_magic_vs_val_nll_partial_entropy_ci_low,pearson_magic_vs_val_nll_partial_entropy_ci_high,pearson_magic_vs_kl_ci_low,pearson_magic_vs_kl_ci_high,pearson_magic_vs_tv_ci_low,pearson_magic_vs_tv_ci_high,perm_p_magic_vs_val_nll,perm_p_entropy_vs_val_nll,perm_p_magic_vs_val_nll_partial_entropy,perm_p_magic_vs_kl,perm_p_magic_vs_tv,null_random_label_r_magic_vs_val_nll,null_shuffled_time_r_magic_vs_val_nll,condition_runtime_s
14,N10_th1.20_archrbm_h32_s23,rbm,10,1.2,32,23,8,-0.8083219902505545,0.015171882327781815,-0.8571428571428572,0.006530017254715292,-0.8738320766355957,0.004557836908385055,-0.30145201886614525,0.4680863796800842,0.11983783853112308,0.7774460395410572,0.3370044893275151,0.41432935278999516,-0.9565399859013369,-0.6709625294188594,-0.9838083908556755,-0.7027528098514079,-0.9588584395605301,0.8196992024682979,-0.5684903286927022,0.934116253163884,-0.08613695844615822,0.8010067144775287,0.02493765586034913,0.00997506234413965,0.4912718204488778,0.7880299251870324,0.39650872817955113,0.041186255233590596,-0.020701068527434724,11.114042845088989
15,N10_th1.20_archindependent_h0_s11,independent,10,1.2,0,11,8,0.13988140485987596,0.7411235734063473,-0.023809523809523815,0.9553740118158807,-0.3172145008879031,0.4439179917442135,0.767416836323657,0.026222408587392304,0.15311981401231245,0.7173562822151299,0.09548575068316262,0.8220494834206977,-0.6589230990358627,0.7397837794259732,-0.9102964680232356,0.7112183165381891,-0.9450434575250887,0.9950976300504442,-0.5600985141471626,0.6814009122131122,-0.670999800584279,0.6004527546607806,0.770573566084788,0.4912718204488778,0.10972568578553615,0.743142144638404,0.830423940149626,0.0493081987791247,-0.10268110838673468,1.1285246990155429
16,N10_th1.20_archindependent_h0_s17,independent,10,1.2,0,17,8,0.08318296959670084,0.8447499094810358,-0.19047619047619052,0.6514014957024814,0.07643601628969324,0.8572397094433158,0.035413373352929524,0.9336554192764676,0.15077042236682378,0.7215603314805739,0.345907519172796,0.4013019819109959,-0.8199201855909691,0.8100574916031519,-0.618567793625158,0.8133088064746745,-0.99095800675846,0.7859966232982438,-0.5532863313966795,0.8565023843001988,-0.2826656097926318,0.8589275504460754,0.8129675810473815,0.8329177057356608,0.9351620947630923,0.7605985037406484,0.4339152119700748,-0.05714548919737452,-0.059455297839783504,1.1019058339297771
17,N10_th1.20_archindependent_h0_s23,independent,10,1.2,0,23,8,-0.8002165050842761,0.017067439877254436,-0.8571428571428572,0.006530017254715292,-0.8720474365005946,0.004747343423740542,-0.275103226848302,0.5096159347386877,0.15619572086359051,0.7118615633085275,0.36880991638427685,0.36862981421904145,-0.9584055329394823,-0.6436189856931464,-0.9844765143054611,-0.6875485766257143,-0.8753910895018103,0.8210352253485605,-0.5238434210300013,0.9352084668534848,0.01725843378960031,0.8825791982823552,0.02493765586034913,0.00997506234413965,0.5386533665835411,0.7082294264339152,0.34413965087281795,0.04173194949440349,-0.020528519175404512,1.1021974871400744
18,N10_th2.40_archgru_h32_s11,gru,10,2.4,32,11,8,-0.4559990914912476,0.25613099669271194,-0.4761904761904762,0.23293553465009798,-0.7109078170587296,0.048062647970638535,0.552954593776659,0.15516296908937302,-0.9120424235768281,0.0015909652472178245,-0.9200874289246819,0.0012005652734701773,-0.9533917212328139,0.1817291264972069,-0.9672461268251088,-0.4038040083602632,-0.9805687587323958,0.9909554083750299,-0.9912168573482557,-0.6993640402710507,-0.9923918821572378,-0.7712687143808742,0.2518703241895262,0.057356608478802994,0.20199501246882792,0.007481296758104738,0.0024937655860349127,0.06049278210647979,-0.059805346354336,13.567834332818165
19,N10_th2.40_archgru_h32_s17,gru,10,2.4,32,17,8,0.14162599977043386,0.7379807876908249,0.0,1.0,-0.21700885082359306,0.6057023833273355,0.753652907563465,0.030809889085921333,-0.38079755467603965,0.35202473650599847,-0.42668194639053786,0.2917687739423399,-0.5886295939407936,0.6606327464576717,-0.682413487724395,0.3956259638767214,-0.8693541619447412,0.9959138541985815,-0.919962957673683,0.6760662180379645,-0.9297046977320662,0.41624448466342695,0.7556109725685786,0.6234413965087282,0.09226932668329177,0.4014962593516209,0.3092269326683292,-0.07395569617098356,-0.01718412824846853,13.892482060007751
20,N10_th2.40_archgru_h32_s23,gru,10,2.4,32,23,8,-0.5264626220809103,0.18011153481640474,-0.6428571428571429,0.08555889101267318,-0.8377975631117072,0.009412950224157893,0.883373921842031,0.003626972824313992,-0.09803155273064552,0.8173650702041876,-0.16866827154522593,0.6896938508904787,-0.9940573763079578,0.0831039590390821,-0.9877651925994664,-0.5407741368933626,-0.9246256598404297,0.9985596217356977,-0.7486743220810377,0.4225619549705519,-0.9636833912232631,0.2620622560101476,0.18703241895261846,0.017456359102244388,0.004987531172069825,0.8728179551122195,0.7531172069825436,0.049046742459420006,0.011706634544849936,13.198055827990174
21,N10_th2.40_archrbm_h32_s11,rbm,10,2.4,32,11,8,-0.23833567579695925,0.5697552134925585,-0.4523809523809524,0.260404767436885,-0.5548803384713632,0.1534280218502407,0.67538033517112,0.06605019476962627,-0.2916668405470483,0.4833481025698488,-0.13765337381358816,0.7451417880690433,-0.9663660993653242,0.34684492916161613,-0.988946961119934,0.011109814336367397,-0.9790738177241024,0.9995956712818185,-0.9346118884661995,0.4157245722903571,-0.9663047067922538,0.4383978041044488,0.5635910224438903,0.1546134663341646,0.1172069825436409,0.4937655860349127,0.7880299251870324,0.07335136893002145,-0.06934407662022432,12.903262984007597
22,N10_th2.40_archrbm_h32_s17,rbm,10,2.4,32,17,8,0.005266873217505969,0.9901247953441789,-0.4523809523809524,0.260404767436885,-0.3380160086242469,0.4128402387880311,0.7149083043471457,0.046248691820514096,-0.2961611498168809,0.4763143197187056,-0.14274621122243986,0.7359644601144699,-0.7853169579382737,0.559294596605837,-0.7233398584175228,0.08265597259421996,-0.9481007433894171,0.9945347948172558,-0.9180323814256565,0.37783073152853736,-0.9173119147451141,0.5409928495698145,0.9850374064837906,0.4389027431421446,0.11221945137157108,0.5286783042394015,0.7581047381546134,-0.06778564572148063,-0.03566048440179669,13.937727848999202
23,N10_th2.40_archrbm_h32_s23,rbm,10,2.4,32,23,8,-0.570077341005368,0.14011171473657802,-0.7142857142857144,0.04652823228416724,-0.8355848055773005,0.009786227004447808,0.6956301925234322,0.05538046275044719,-0.2938579154141192,0.47991389690316394,-0.11577238071718207,0.7848586437008093,-0.9864182103621221,0.09146741839974135,-0.9792625432666401,-0.6021210818145055,-0.9686681425604569,0.9908865952053365,-0.9131666731014934,0.32708293617640516,-0.9553926678567634,0.47384010668420096,0.16708229426433915,0.0199501246882793,0.034912718204488775,0.40648379052369077,0.827930174563591,0.010921813042508784,0.011300535782252992,12.240236744983122
