snapshot_index,time,magic_m2,final_train_nll,final_val_nll,final_kl,final_tv,steps_to_threshold,condition_id,architecture,n_sites,theta1,hidden_size,seed,snapshot_entropy
7,1.4000000000000001,1.7182762645238645,2.183070249557495,2.2235827445983887,0.13338506482467488,0.12842896878467186,9.0,N10_th1.20_archgru_h32_s17,gru,10,1.2,32,17,0.1643308635647229
8,1.6,1.7224390640208087,2.241913261413574,2.2261290550231934,0.27277160856000904,0.22010171019627622,10.0,N10_th1.20_archgru_h32_s17,gru,10,1.2,32,17,0.16121427338131145
10,2.0,1.7724566589726125,2.386562690734863,2.3092987537384033,0.24075991212868983,0.2065122968964256,11.0,N10_th1.20_archgru_h32_s17,gru,10,1.2,32,17,0.16891646165969787
0,0.0,1.784578957364741,2.207373900413513,2.123579740524292,0.1724480137183499,0.14800997284387496,10.0,N10_th1.20_archgru_h32_s23,gru,10,1.2,32,23,0.2260498882626132
1,0.2,1.7836532216166736,2.2070407485961914,2.1548280715942383,0.1539866655302987,0.14142697453663033,11.0,N10_th1.20_archgru_h32_s23,gru,10,1.2,32,23,0.22376514842040143
2,0.4,1.7800060487606304,2.1772747802734376,2.120408773422241,0.11893597651996307,0.11028880590810941,11.0,N10_th1.20_archgru_h32_s23,gru,10,1.2,32,23,0.21720164289777505
4,0.8,1.7585342144945768,2.255914134979248,2.3163604736328125,0.25461869261612435,0.20594144111002435,10.0,N10_th1.20_archgru_h32_s23,gru,10,1.2,32,23,0.19515772243152774
5,1.0,1.741850230539037,2.1874728775024415,2.298741340637207,0.17324637536623147,0.15017178655150207,10.0,N10_th1.20_archgru_h32_s23,gru,10,1.2,32,23,0.18276277401709265
7,1.4000000000000001,1.7182762645238645,2.1286854267120363,2.2039945125579834,0.13653239369628328,0.12175765863862203,10.0,N10_th1.20_archgru_h32_s23,gru,10,1.2,32,23,0.1643308635647229
8,1.6,1.7224390640208087,2.141079225540161,2.200183868408203,0.1299396531610193,0.12365272023342197,11.0,N10_th1.20_archgru_h32_s23,gru,10,1.2,32,23,0.16121427338131145
10,2.0,1.7724566589726125,2.291507387161255,2.224487066268921,0.16529997595622936,0.14874328304001228,8.0,N10_th1.20_archgru_h32_s23,gru,10,1.2,32,23,0.16891646165969787
0,0.0,1.784578957364741,3.3634845066070556,3.363908052444458,1.3693284289011733,0.6131105889471885,6.0,N10_th1.20_archrbm_h32_s11,rbm,10,1.2,32,11,0.2260498882626132
1,0.2,1.7836532216166736,3.388750457763672,3.3208236694335938,1.3667507103804084,0.6151905116968057,6.0,N10_th1.20_archrbm_h32_s11,rbm,10,1.2,32,11,0.22376514842040143
2,0.4,1.7800060487606304,3.4215463066101073,3.304574728012085,1.3600816676072789,0.6237758220869409,6.0,N10_th1.20_archrbm_h32_s11,rbm,10,1.2,32,11,0.21720164289777505
4,0.8,1.7585342144945768,3.459177770614624,3.3129987716674805,1.3464637604591174,0.6291602076015046,6.0,N10_th1.20_archrbm_h32_s11,rbm,10,1.2,32,11,0.19515772243152774
5,1.0,1.741850230539037,3.3116775512695313,3.4428341388702393,1.3449120359313005,0.6076337870622792,6.0,N10_th1.20_archrbm_h32_s11,rbm,10,1.2,32,11,0.18276277401709265
7,1.4000000000000001,1.7182762645238645,3.407294359207153,3.3747029304504395,1.3658281937124899,0.6252743327415674,6.0,N10_th1.20_archrbm_h32_s11,rbm,10,1.2,32,11,0.1643308635647229
8,1.6,1.7224390640208087,3.3896831321716308,3.265963077545166,1.381100411586513,0.6215438941118996,6.0,N10_th1.20_archrbm_h32_s11,rbm,10,1.2,32,11,0.16121427338131145
10,2.0,1.7724566589726125,3.5690784645080567,3.5819151401519775,1.415429039851085,0.6487702070217102,6.0,N10_th1.20_archrbm_h32_s11,rbm,10,1.2,32,11,0.16891646165969787
0,0.0,1.784578957364741,3.334219036102295,3.4122869968414307,1.3696195600675964,0.6109188434306903,6.0,N10_th1.20_archrbm_h32_s17,rbm,10,1.2,32,17,0.2260498882626132
