snapshot_index,time,magic_m2,final_train_nll,final_val_nll,final_kl,final_tv,steps_to_threshold,condition_id,architecture,n_sites,theta1,hidden_size,seed,snapshot_entropy
67,4.466666666666667,0.9352803638743366,1.1329778671264648,1.0728521347045898,0.04834393274211147,0.05000456088465874,7.0,N6_th1.20_archgru_h48_s31,gru,6,1.2,48,31,0.1929600148585045
90,6.0,1.0422330166096039,1.2624703121185303,1.2185728549957275,0.041427774244395914,0.04342655515866127,8.0,N6_th1.20_archgru_h48_s31,gru,6,1.2,48,31,0.1845064499608188
0,0.0,1.0084901620272637,1.2063753032684326,1.24105966091156,0.07493904735949675,0.07209088850996884,7.0,N6_th1.20_archgru_h48_s37,gru,6,1.2,48,37,0.22807231345756984
22,1.4666666666666666,0.946400067697839,1.1325080490112305,1.251334309577942,0.04474184977404368,0.05025104670423847,7.0,N6_th1.20_archgru_h48_s37,gru,6,1.2,48,37,0.16395372427529917
45,3.0,1.0364234718042065,1.2927374744415283,1.2204949855804443,0.04271640291573237,0.05349705060222502,6.0,N6_th1.20_archgru_h48_s37,gru,6,1.2,48,37,0.21337808155578242
67,4.466666666666667,0.9352803638743366,1.1389997053146361,1.1512175798416138,0.0467043861659231,0.04565254827804556,7.0,N6_th1.20_archgru_h48_s37,gru,6,1.2,48,37,0.1929600148585045
90,6.0,1.0422330166096039,1.2462737369537353,1.2892098426818848,0.045287486112747175,0.04182027633779678,7.0,N6_th1.20_archgru_h48_s37,gru,6,1.2,48,37,0.1845064499608188
0,0.0,1.008490162027261,1.1929020595550537,1.1918561458587646,0.04106518648951586,0.044694999468710826,6.0,N6_th1.60_archgru_h48_s11,gru,6,1.6,48,11,0.22807231345757015
22,1.4666666666666666,0.923997767703673,1.1468458366394043,1.1571948528289795,0.039416162393476666,0.03865440374608704,7.0,N6_th1.60_archgru_h48_s11,gru,6,1.6,48,11,0.14611068416463494
45,3.0,1.0600952298670965,1.253913507461548,1.2547738552093506,0.03693591395435234,0.039284166935553255,7.0,N6_th1.60_archgru_h48_s11,gru,6,1.6,48,11,0.21111247056665053
67,4.466666666666667,0.9024132422062641,1.1008459043502807,1.013390302658081,0.03951762412534243,0.04406508349764103,6.0,N6_th1.60_archgru_h48_s11,gru,6,1.6,48,11,0.1850576824041102
90,6.0,1.0545633371986742,1.2883681058883667,1.2989639043807983,0.04055529379298071,0.04719789989840511,8.0,N6_th1.60_archgru_h48_s11,gru,6,1.6,48,11,0.182102309255429
0,0.0,1.008490162027261,1.1805110216140746,1.1917208433151245,0.04375375357439628,0.051151724745953295,7.0,N6_th1.60_archgru_h48_s13,gru,6,1.6,48,13,0.22807231345757015
22,1.4666666666666666,0.923997767703673,1.1671166443824768,1.100178837776184,0.03879095519094459,0.05055891048630589,6.0,N6_th1.60_archgru_h48_s13,gru,6,1.6,48,13,0.14611068416463494
45,3.0,1.0600952298670965,1.2273743438720703,1.2659327983856201,0.04383630038961343,0.04556749214594272,7.0,N6_th1.60_archgru_h48_s13,gru,6,1.6,48,13,0.21111247056665053
67,4.466666666666667,0.9024132422062641,1.0787130069732667,1.0864840745925903,0.05547370636127182,0.04808415835341913,7.0,N6_th1.60_archgru_h48_s13,gru,6,1.6,48,13,0.1850576824041102
90,6.0,1.0545633371986742,1.2845220804214477,1.3276461362838745,0.03844929307730759,0.04406022128101872,8.0,N6_th1.60_archgru_h48_s13,gru,6,1.6,48,13,0.182102309255429
0,0.0,1.008490162027261,1.1973145818710327,1.1521509885787964,0.044131214312366926,0.05357851982728565,7.0,N6_th1.60_archgru_h48_s17,gru,6,1.6,48,17,0.22807231345757015
22,1.4666666666666666,0.923997767703673,1.1634102010726928,1.1418029069900513,0.04950553403772919,0.04376561839458773,7.0,N6_th1.60_archgru_h48_s17,gru,6,1.6,48,17,0.14611068416463494
45,3.0,1.0600952298670965,1.3004860401153564,1.3138662576675415,0.03966693852526206,0.04739459300488831,8.0,N6_th1.60_archgru_h48_s17,gru,6,1.6,48,17,0.21111247056665053
67,4.466666666666667,0.9024132422062641,1.133128719329834,1.0623234510421753,0.06191155111706108,0.0667095607280116,7.0,N6_th1.60_archgru_h48_s17,gru,6,1.6,48,17,0.1850576824041102
90,6.0,1.0545633371986742,1.2750966930389405,1.3996014595031738,0.036083429730105886,0.04319995543413727,7.0,N6_th1.60_archgru_h48_s17,gru,6,1.6,48,17,0.182102309255429
0,0.0,1.008490162027261,1.2400593948364258,1.2222315073013306,0.05046328673870139,0.05603762062932241,8.0,N6_th1.60_archgru_h48_s19,gru,6,1.6,48,19,0.22807231345757015
