snapshot_index,time,magic_m2,final_train_nll,final_val_nll,final_kl,final_tv,steps_to_threshold,condition_id,architecture,n_sites,theta1,hidden_size,seed,snapshot_entropy
90,6.0,1.0084901620272664,2.0274098396301268,1.9577261209487915,0.81893231618513,0.44508997688589325,3.0,N6_th0.00_archrbm_h48_s17,rbm,6,0.0,48,17,0.2280723134575699
0,0.0,1.0084901620272664,1.9268141984939575,1.9687368869781494,0.8176554821763047,0.4195002382249102,3.0,N6_th0.00_archrbm_h48_s23,rbm,6,0.0,48,23,0.22807231345757034
18,1.2,1.0084901620272682,1.9892694664001465,1.9122942686080933,0.817162333328614,0.436944706276532,3.0,N6_th0.00_archrbm_h48_s23,rbm,6,0.0,48,23,0.22807231345756954
36,2.4,1.0084901620272673,2.007378492355347,1.9296833276748657,0.8181648376915479,0.43921414103882916,3.0,N6_th0.00_archrbm_h48_s23,rbm,6,0.0,48,23,0.2280723134575699
54,3.6,1.0084901620272673,1.9777908992767335,2.034954786300659,0.8169157647432665,0.43550383752343874,3.0,N6_th0.00_archrbm_h48_s23,rbm,6,0.0,48,23,0.22807231345757017
72,4.8,1.0084901620272673,1.907173547744751,2.0811312198638916,0.8181420494398971,0.4201824298705476,3.0,N6_th0.00_archrbm_h48_s23,rbm,6,0.0,48,23,0.22807231345757004
90,6.0,1.0084901620272664,1.9658261585235595,2.09796142578125,0.8178944520352798,0.4308813405739017,3.0,N6_th0.00_archrbm_h48_s23,rbm,6,0.0,48,23,0.2280723134575699
0,0.0,1.0084901620272664,2.0394365692138674,1.960665225982666,0.8174653315756518,0.4469736926548338,3.0,N6_th0.00_archrbm_h48_s29,rbm,6,0.0,48,29,0.22807231345757034
18,1.2,1.0084901620272682,1.9857623958587647,1.9886596202850342,0.8174434923251854,0.435626064053591,3.0,N6_th0.00_archrbm_h48_s29,rbm,6,0.0,48,29,0.22807231345756954
36,2.4,1.0084901620272673,1.975007929801941,2.0678648948669434,0.817309816802727,0.43041110429939244,3.0,N6_th0.00_archrbm_h48_s29,rbm,6,0.0,48,29,0.2280723134575699
54,3.6,1.0084901620272673,1.9857900619506836,1.896490454673767,0.8173141159153503,0.4348212080519404,3.0,N6_th0.00_archrbm_h48_s29,rbm,6,0.0,48,29,0.22807231345757017
72,4.8,1.0084901620272673,1.9748774766921997,1.9625322818756104,0.8170405632005302,0.43332005750036456,3.0,N6_th0.00_archrbm_h48_s29,rbm,6,0.0,48,29,0.22807231345757004
90,6.0,1.0084901620272664,2.0236982345581054,1.9396555423736572,0.8171643887790898,0.44129362940540495,3.0,N6_th0.00_archrbm_h48_s29,rbm,6,0.0,48,29,0.2280723134575699
0,0.0,1.008490162027253,1.965206699371338,1.9557725191116333,0.8172169465099209,0.4305538610393258,3.0,N6_th0.80_archrbm_h48_s11,rbm,6,0.8,48,11,0.22807231345756993
18,1.2,0.974846073502917,1.9015427780151368,1.9141088724136353,0.7836474056606647,0.41599550849460853,3.0,N6_th0.80_archrbm_h48_s11,rbm,6,0.8,48,11,0.19095899253826634
36,2.4,1.0064397219830523,1.9512860774993896,1.9502770900726318,0.806085917006191,0.42959830272874133,3.0,N6_th0.80_archrbm_h48_s11,rbm,6,0.8,48,11,0.19692464800392412
54,3.6,0.9886711292843469,1.9761879348754883,1.880767822265625,0.8028042481708416,0.43428070408555053,3.0,N6_th0.80_archrbm_h48_s11,rbm,6,0.8,48,11,0.22175346555716147
72,4.8,0.9781356442614628,1.8751913070678712,1.9380968809127808,0.78357311150817,0.4159080611019731,3.0,N6_th0.80_archrbm_h48_s11,rbm,6,0.8,48,11,0.19685188124694564
